date,Open,High,Low,Close,Volume
2022-06-16,273.39,273.4,266.88,268.56,7212687.0
2022-06-17,268.39,270.5,265.68,268.08,11615422.0
2022-06-21,273.85,273.98,270.34,271.77,4907077.0
2022-06-22,267.38,273.395,267.38,269.79,4225967.0
2022-06-23,269.85,270.71,263.68,267.52,4732399.0
2022-06-24,268.97,279.67,268.5701,278.28,6454976.0
2022-06-27,280.53,282.03,277.61,278.4,4136747.0
2022-06-28,280.51,282.45,273.68,273.86,4018337.0
2022-06-29,274.95,275.94,272.97,273.49,3010168.0
2022-06-30,270.51,274.92,268.68,273.02,4625535.0
2022-07-01,272.5,278.4,271.63,277.5,3668568.0
2022-07-05,274.2,275.86,271.39,275.69,3677878.0
2022-07-06,274.84,277.51,272.87,275.65,3034444.0
2022-07-07,277.5,279.59,277.1,279.28,3952851.0
2022-07-08,279.79,282.61,279.25,280.83,2985777.0
2022-07-11,279.38,281.4563,277.8701,278.51,2865411.0
2022-07-12,277.57,282.18,276.655,277.28,3033742.0
2022-07-13,275.37,280.09,274.4529,277.47,4199491.0
2022-07-14,273.0,275.345,271.2,274.41,3889463.0
2022-07-15,277.53,280.0,276.06,278.48,4548506.0
2022-07-18,281.5,281.5,275.21,276.26,3274902.0
2022-07-19,279.0,284.08,278.17,283.55,3591904.0
2022-07-20,284.64,286.44,283.9,286.04,3879170.0
2022-07-21,287.0,287.24,282.09,286.85,3700275.0
2022-07-22,288.1,289.4,283.615,285.93,2877341.0
2022-07-25,287.21,289.065,285.1534,287.99,3138226.0
2022-07-26,287.79,288.7147,284.6546,285.31,2513418.0
2022-07-27,287.67,291.56,285.7,290.3,3616585.0
2022-07-28,291.18,294.03,286.77,293.9,3991272.0
2022-07-29,297.42,302.4,295.4314,300.6,6983576.0
2022-08-01,299.7,299.7,294.83,295.86,4196074.0
2022-08-02,294.87,295.53,291.92,292.17,3168448.0
2022-08-03,295.05,295.88,291.1,294.96,4062173.0
2022-08-04,294.73,295.98,292.62,292.91,3949668.0
2022-08-05,291.87,294.1,290.425,292.07,3397499.0
2022-08-08,294.87,299.33,292.27,292.34,3969779.0
2022-08-09,293.35,297.5708,291.93,292.77,3873083.0
2022-08-10,296.48,296.93,294.1,295.11,3708840.0
2022-08-11,298.0,299.06,296.12,296.47,3146890.0
2022-08-12,297.9,301.69,297.0,301.55,3233809.0
2022-08-15,298.64,303.76,297.4,302.82,2929312.0
2022-08-16,304.99,308.15,303.76,306.65,3344335.0
2022-08-17,305.22,306.89,302.74,304.26,2963923.0
2022-08-18,304.44,304.57,301.55,304.27,2783620.0
